Brand,TotalPurchaseDollars,TotalSalesDollars,GrossProfit,TotalPurchaseQuantity,TotalSalesQuantity,ProfitMargin,StockTurnover
58,65888.0,86683.08,10397.54,7100,6892.0,11.99488989085298,0.9707042253521126
60,24168.399999999998,37432.5,6632.050000000001,3266,3550.0,17.7173579109063,1.0869565217391304
61,6614.400000000001,8729.76,1057.6799999999998,624,624.0,12.11579699785561,1.0
62,183488.0,239727.5,28119.75,6400,6250.0,11.729880802160787,0.9765625
63,173926.6,224498.44,25285.92,5710,5556.0,11.263294301733232,0.9730297723292469
70,390.88,699.7199999999999,154.41999999999996,28,28.0,22.068827531012403,1.0
72,23864.54,34650.62,5393.040000000001,914,938.0,15.564050513381869,1.026258205689278
75,218.8,629.58,205.39000000000001,20,42.0,32.623336192382226,2.1
77,227166.96000000002,286833.42,29833.22999999998,21864,20858.0,10.40089052384481,0.9539882912550312
79,111187.95999999999,157846.28,23329.160000000003,11558,11372.0,14.77967044899633,0.9839072503893407
82,4470.12,24749.34,10139.61,18,66.0,40.969213724487204,3.6666666666666665
86,3306.94,10799.64,3746.3499999999995,14,36.0,34.6895822453341,2.5714285714285716
100,36087.0,40537.520000000004,2225.260000000002,300,248.0,5.489383662345407,0.8266666666666667
104,1964.5200000000002,2918.2799999999997,476.87999999999977,306,332.0,16.341132447880252,1.0849673202614378
106,6385.2,8432.22,1023.5099999999998,1878,1878.0,12.138084632516701,1.0
107,511.0,546.94,17.970000000000027,100,86.0,3.285552345778335,0.86
108,791.82,947.54,77.85999999999996,166,146.0,8.21706735335711,0.8795180722891566
109,4405.5,5424.74,509.6199999999999,890,846.0,9.394367287648807,0.950561797752809
110,367.84,480.26,56.21000000000001,76,74.0,11.704076958314248,0.9736842105263158
111,1851.8,2401.3,274.7500000000001,394,370.0,11.441719068837717,0.9390862944162437
112,2152.6,2518.12,182.76,458,388.0,7.2577954982288375,0.8471615720524017
113,1606.8799999999999,2362.36,377.7400000000001,332,364.0,15.989942261128705,1.0963855421686748
114,3331.72,4205.52,436.9000000000003,652,648.0,10.388727196636808,0.9938650306748467
115,475226.06,574074.9,49424.42000000001,22238,20510.0,8.609402710343199,0.9222951704289954
120,5032.08,7638.54,1303.23,482,546.0,17.06124468812103,1.1327800829875518
122,15.92,505.54,244.81,2,46.0,48.425446057680894,23.0
123,4572.5,6918.84,1173.17,118,116.0,16.956166062519152,0.9830508474576272
126,2411885.84,3473221.74,530667.9500000002,119756,116026.0,15.278838776357542,0.9688533351147333
128,195.36,245.92,25.279999999999987,8,8.0,10.27976577748861,1.0
129,199.92,569.8199999999999,184.95,8,18.0,32.457618195219545,2.25
131,619.2,447.72,-85.74000000000001,60,28.0,-19.150361833288663,0.4666666666666667
140,376.8,1055.04,339.12,48,96.0,32.142857142857146,2.0
143,24855.6,31419.52,3281.960000000001,840,848.0,10.44560833520054,1.0095238095238095
151,9591.0,11576.76,992.8800000000001,834,724.0,8.576492904750554,0.86810551558753
156,8277.0,3038.4799999999996,-2619.26,534,152.0,-86.20296990600565,0.2846441947565543
158,2232.36,3599.64,683.6399999999999,36,36.0,18.99189918991899,1.0
159,46127.52,96825.78,25349.13,1648,2622.0,26.180145411686844,1.5910194174757282
161,2227.2,2598.0,185.4000000000001,240,200.0,7.136258660508086,0.8333333333333334
162,36963.9,46490.54,4763.32,2010,1946.0,10.245783335706575,0.9681592039800995
165,24006.88,35751.68,5872.4,1192,1232.0,16.42552182163188,1.0335570469798658
168,52429.1,67109.38,7340.140000000003,5858,5262.0,10.937576833521637,0.898258791396381
169,67219.68000000001,86513.08,9646.699999999997,5104,5092.0,11.150568214656092,0.9976489028213166
171,489937.28,676868.2000000001,93465.46000000002,13328,13180.0,13.808516931361234,0.9888955582232893
173,43423.8,63692.619999999995,10134.409999999996,2954,3038.0,15.911435265184565,1.028436018957346
175,39396.0,60633.560000000005,10618.780000000002,1470,1444.0,17.51304063294321,0.9823129251700681
176,326.16,407.76,40.79999999999998,24,24.0,10.0058858151854,1.0
178,93710.64,143317.82,24803.590000000004,4514,5018.0,17.306703381338064,1.1116526362428
181,223.8,299.88,38.03999999999999,12,12.0,12.685074029611842,1.0
184,26340.8,41438.56,7548.879999999999,2020,2144.0,18.217042291044862,1.0613861386138614
187,276.72,359.76,41.51999999999998,24,24.0,11.541027351567706,1.0
188,1544.22,2068.62,262.19999999999993,138,138.0,12.675116744496329,1.0
189,46.08,59.92,6.920000000000002,8,8.0,11.548731642189589,1.0
190,1034.28,1441.44,203.58000000000004,338,336.0,14.123376623376627,0.9940828402366864
192,75068.16,100646.92,12789.379999999997,2712,2708.0,12.707174745138747,0.9985250737463127
194,1578.5000000000002,2579.14,500.3199999999998,70,86.0,19.398714300115536,1.2285714285714286
197,1841.8400000000001,2114.06,136.1099999999999,104,94.0,6.438322469560935,0.9038461538461539
199,92.88,159.68,33.400000000000006,24,32.0,20.91683366733467,1.3333333333333333
200,77928.18000000001,83911.76,2991.7899999999936,3326,2824.0,3.5654001298506834,0.8490679494888755
201,1051.96,1403.28,175.65999999999997,68,72.0,12.517815403910834,1.0588235294117647
202,7492.8,11422.06,1964.6299999999997,336,394.0,17.20031237797735,1.1726190476190477
203,94.68,83.96,-5.3600000000000065,6,4.0,-6.383992377322543,0.6666666666666666
204,296.8,318.78000000000003,10.990000000000009,28,22.0,3.4475186649099716,0.7857142857142857
206,750.52,467.73999999999995,-141.39000000000001,58,26.0,-30.228331979304745,0.4482758620689655
207,1035.0,1564.92,264.96000000000004,90,108.0,16.931216931216934,1.2
211,100498.44,140368.16,19934.86,5068,4984.0,14.201838935553477,0.9834254143646409
213,32731.660000000003,46498.38,6883.359999999997,1922,1962.0,14.80344046394734,1.0208116545265349
216,2343.0,2662.72,159.8599999999999,150,128.0,6.003635380362934,0.8533333333333334
217,8202.6,11730.3,1763.8499999999995,558,570.0,15.036699828648882,1.021505376344086
222,6012.24,5757.12,-127.55999999999995,376,288.0,-2.215691178922794,0.7659574468085106
226,3829.9199999999996,4769.66,469.8700000000001,474,434.0,9.851226292859453,0.9156118143459916
233,64045.2,93046.46,14500.630000000005,2120,2154.0,15.584289826824152,1.0160377358490567
234,825.8399999999999,929.4,51.78000000000003,72,60.0,5.5713363460297,0.8333333333333334
236,476.28,971.4599999999999,247.58999999999997,36,54.0,25.486381322957197,1.5
239,258.36,335.88,38.75999999999999,12,12.0,11.539835655591279,1.0
240,1948.6999999999998,2644.74,348.02,130,126.0,13.158949461950892,0.9692307692307692
241,44.76,59.96,7.600000000000001,4,4.0,12.675116744496334,1.0
247,52809.12,51797.420000000006,-505.84999999999854,338,258.0,-0.9765930426650564,0.7633136094674556
248,1102.08,1199.76,48.84000000000003,28,24.0,4.070814162832569,0.8571428571428571
249,2248.02,3562.3799999999997,657.1799999999998,138,162.0,18.447779293618307,1.173913043478261
253,28722.4,36384.36,3830.9799999999996,6244,6284.0,10.529194412104541,1.0064061499039076
254,7418.76,9473.380000000001,1027.3100000000004,844,862.0,10.844175996318107,1.0213270142180095
258,6021.4400000000005,8837.4,1407.9799999999996,248,260.0,15.932061466042043,1.0483870967741935
261,7032.96,8573.4,770.2199999999998,704,660.0,8.983833718244801,0.9375
262,56.22,95.92,19.85,6,8.0,20.694328607172647,1.3333333333333333
263,334.8,71.96,-131.42000000000002,24,4.0,-182.62923846581438,0.16666666666666666
264,487.2,623.52,68.16,48,48.0,10.931485758275597,1.0
267,41.56,155.88,57.16,4,12.0,36.669232743135744,3.0
269,10581.46,13510.140000000001,1464.340000000001,3338,3386.0,10.838821803475026,1.0143798681845417
271,25736.239999999998,8037.8,-8849.22,778,220.0,-110.09505088457038,0.2827763496143959
272,15850.8,17603.82,876.5100000000002,2142,2118.0,4.979089765744027,0.988795518207283
273,428076.3,471087.16,21505.429999999993,24730,20884.0,4.56506392574996,0.8444803881924787
