VendorName,AvgStockTurnOver
AAPER ALCOHOL & CHEMICAL CO,0.0
ADAMBA IMPORTS INTL INC,0.41935139748239814
ALISA CARR BEVERAGES,0.6297262059973925
ALTAMAR BRANDS LLC,0.959375
AMERICAN SPIRITS EXCHANGE,0.7013888888888888
AMERICAN VINTAGE BEVERAGE,0.9213213270712731
APPOLO VINEYARDS LLC,0.4727272727272727
ATLANTIC IMPORTING COMPANY,0.8930782217220034
BACARDI USA INC,0.8922573400903799
BANFI PRODUCTS CORP,0.8538324922446817
BLACK COVE BEVERAGES,0.3405875952121872
BLACK PRINCE DISTILLERY INC,0.7922602089268755
BRONCO WINE COMPANY,0.6126080878164967
BROWN-FORMAN CORP,0.8435856873225621
BULLY BOY DISTILLERS,0.7122816211590444
CALEDONIA SPIRITS INC,0.807541122575786
CAMPARI AMERICA,0.8818033593019974
CANDIA VINEYARDS,0.9610848618818418
CASTLE BRANDS CORP.,0.9042274795789438
CENTEUR IMPORTS LLC,0.7370410014012981
CHARLES JACQUIN ET CIE INC,0.9177347986843808
CONSTELLATION BRANDS INC,0.7937811391004517
CRUSH WINES,0.5549517525720573
Circa Wines,0.48438365354017393
DELICATO VINEYARDS INC,0.8394786488740072
DIAGEO CHATEAU ESTATE WINES,0.6987869509942556
DIAGEO NORTH AMERICA INC,0.884756863460193
DISARONNO INTERNATIONAL LLC,0.9755772939854562
DJINN SPIRITS LLC,0.8034622229943948
DUGGANS DISTILLED PRODUCTS,0.83128774367324
Dunn Wine Brokers,0.4847733745867864
E & J GALLO WINERY,0.8245253865509137
EDRINGTON AMERICAS,0.8492379125957141
FABRIZIA SPIRITS LLC,0.7853496062240305
FLAG HILL WINERY & VINEYARD,0.9248935230393748
FORTUNE WINE BROKERS LLC,0.5386023860651574
FREDERICK WILDMAN & SONS,0.5940149625517426
FULCHINO VINEYARD INC,0.8799569696645062
GILMANTON WINERY & VINEYARD,0.4658189033189033
HAUNTING WHISPER VYDS,0.9134194297971221
HEAVEN HILL DISTILLERIES,0.9103892576123263
HIGHLAND WINE MERCHANTS LLC,0.14891975308641978
"HOOD RIVER DISTILLERS, Inc.",0.9483333333333334
INCREDIBREW INC,0.930761520741743
"IRA GOLDMAN AND WILLIAMS, LLP",0.075
JEWELL TOWNE VINEYARDS,0.8723842562710026
JIM BEAM BRANDS COMPANY,0.8759458797193539
KLIN SPIRITS LLC,0.8799385138670852
KOBRAND CORPORATION,0.5414300453196905
LABELLE VYDS AND WINERY,0.8537972789861643
LAIRD & CO,0.667551398409569
LATITUDE BEVERAGE COMPANY,0.6234383108854064
LAUREATE IMPORTS CO,0.0
LOYAL DOG WINERY,0.30833333333333335
LUXCO INC,0.828841876912521
M S WALKER INC,0.6949868267594054
MAJESTIC FINE WINES,0.8978350509280266
MANGO BOTTLING INC,0.9380527996212003
MARSALLE COMPANY,0.8143440991794293
MARTIGNETTI COMPANIES,0.7004627201702758
