VendorName,TotalPurchaseDollars,PurchaseContribution%,Cumulative_Contribution%
DIAGEO NORTH AMERICA INC,101919593.7,15.830902659114903,15.830902659114903
MARTIGNETTI COMPANIES,55723380.04,8.655366188435917,24.486268847550818
JIM BEAM BRANDS COMPANY,48406302.1,7.518823700263725,32.00509254781454
PERNOD RICARD USA,48248183.12,7.494263494614685,39.49935604242923
BACARDI USA INC,35248757.44,5.475096864396078,44.974452906825306
CONSTELLATION BRANDS INC,31147835.8,4.838111482698095,49.8125643895234
BROWN-FORMAN CORP,27058866.16,4.202982573751942,54.01554696327534
ULTRA BEVERAGE COMPANY LLP,26421227.86,4.103939892236391,58.11948685551173
E & J GALLO WINERY,24579216.18,3.817825058528683,61.937311914040414
M S WALKER INC,21871634.6,3.397263526849495,65.3345754408899
SAZERAC CO INC,19833540.52,3.0806917292266562,68.41526717011656
MOET HENNESSY USA INC,18945990.4,2.9428309014434917,71.35809807156005
PROXIMO SPIRITS INC.,15176059.8,2.357257488190976,73.71535555975103
WILLIAM GRANT & SONS INC,11921488.7,1.8517335117814375,75.56708907153246
PERFECTA WINES,11331003.06,1.7600149290331515,77.32710400056561
WINE GROUP INC,10517273.58,1.633620467270965,78.96072446783657
CAMPARI AMERICA,8283441.42,1.286645188053772,80.24736965589034
SOUTHERN WINE & SPIRITS NE,7399626.92,1.149364604308526,81.39673426019887
"STOLI GROUP,(USA) LLC",7332957.4399999995,1.1390090091781089,82.53574326937698
SAZERAC NORTH AMERICA INC.,7075955.1,1.099089511071782,83.63483278044876
MAJESTIC FINE WINES,7013337.26,1.0893632465354268,84.72419602698419
REMY COINTREAU USA INC,6709916.5600000005,1.0422337065511982,85.76642973353539
PINE STATE TRADING CO,6258143.18,0.9720609346324719,86.73849066816786
STE MICHELLE WINE ESTATES,6173301.4,0.9588826838972944,87.69737335206516
TREASURY WINE ESTATES,5957372.8,0.9253430618891763,88.62271641395434
HEAVEN HILL DISTILLERIES,5633323.88,0.875009394700398,89.49772580865474
PALM BAY INTERNATIONAL INC,5387968.66,0.8368990131366837,90.33462482179142
TRINCHERO FAMILY ESTATES,4504422.62,0.6996601285777626,91.03428495036918
LUXCO INC,4102872.02,0.6372883290980598,91.67157327946724
MHW LTD,3776666.02,0.5866196083413832,92.25819288780862
EDRINGTON AMERICAS,3765665.68,0.5849109544365241,92.84310384224514
KOBRAND CORPORATION,3616292.66,0.5617092357711363,93.40481307801628
SIDNEY FRANK IMPORTING CO,3431817.7600000002,0.5330552343281345,93.9378683123444
CASTLE BRANDS CORP.,3358767.82,0.5217085791128656,94.45957689145727
BANFI PRODUCTS CORP,3257733.36,0.5060151619453653,94.96559205340264
DELICATO VINEYARDS INC,3122889.2600000002,0.48507018224362664,95.45066223564628
STATE WINE & SPIRITS,3059364.08,0.4752029829694329,95.92586521861571
DIAGEO CHATEAU ESTATE WINES,2730945.66,0.42419061282808385,96.3500558314438
VINEYARD BRANDS INC,2392325.62,0.37159365186055204,96.72164948330435
DISARONNO INTERNATIONAL LLC,2283895.7,0.3547515173254768,97.07640100062983
FREDERICK WILDMAN & SONS,1518898.48,0.23592650944759003,97.31232751007742
SHAW ROSS INT L IMP LTD,1249959.28,0.19415289024584634,97.50648040032327
VINILANDIA USA,1097710.74,0.1705045246153193,97.6769849249386
PHILLIPS PRODUCTS CO.,861891.78,0.13387538525745987,97.81086031019605
OLE SMOKY DISTILLERY LLC,775245.38,0.12041682763996875,97.93127713783602
WESTERN SPIRITS BEVERAGE CO,722498.42,0.11222378095473429,98.04350091879076
FABRIZIA SPIRITS LLC,716781.24,0.11133574640927635,98.15483666520004
CHARLES JACQUIN ET CIE INC,659275.24,0.10240349054692725,98.25724015574697
LATITUDE BEVERAGE COMPANY,632893.52,0.09830568730676359,98.35554584305373
MCCORMICK DISTILLING CO,621105.74,0.09647472241598555,98.45202056546972
FLAG HILL WINERY & VINEYARD,600806.4,0.09332167927758579,98.5453422447473
CRUSH WINES,574379.8,0.08921690494496043,98.63455914969227
CALEDONIA SPIRITS INC,519209.4,0.08064743169298422,98.71520658138525
VRANKEN AMERICA,416660.3,0.06471874947454401,98.7799253308598
MANGO BOTTLING INC,409020.76,0.06353211980197679,98.84345745066177
LAIRD & CO,406023.16000000003,0.06306651047124648,98.90652396113302
SEA HAGG DISTILLERY LLC,376088.92,0.05841690363500392,98.96494086476802
MARSALLE COMPANY,370622.38,0.057567800342099434,99.02250866511012
DUGGANS DISTILLED PRODUCTS,368593.0,0.057252582079623617,99.07976124718975
Serralles Usa LLC,337987.22000000003,0.05249866669989339,99.13225991388964
AMERICAN VINTAGE BEVERAGE,312714.56,0.04857313083507658,99.18083304472472
LABELLE VYDS AND WINERY,293679.1,0.04561640285577857,99.2264494475805
SWEET BABY VINEYARD,281155.8,0.04367119157624329,99.27012063915674
Russian Standard Vodka,277814.54,0.043152202440802936,99.31327284159755
PSP WINES,257791.38,0.04004205761604111,99.35331489921359
BULLY BOY DISTILLERS,235856.44,0.036634961027767275,99.38994986024136
NICHE W & S,222063.54,0.03449254611656158,99.42444240635793
SEA BREEZE CELLARS LLC,217896.18,0.03384524103899543,99.45828764739692
KLIN SPIRITS LLC,206968.58,0.03214788564718577,99.4904355330441
VINEXTRA INC,205279.02,0.03188545073231097,99.52232098377641
ZORVINO VINEYARDS,172245.42,0.026754428451949013,99.54907541222836
PREMIER DISTRIBUTORS,169061.74000000002,0.026259915803810676,99.57533532803217
ADAMBA IMPORTS INTL INC,153540.5,0.02384904238223854,99.5991843704144
Dunn Wine Brokers,144110.6,0.02238432079568469,99.62156869121009
MOONLIGHT MEADERY,142715.18,0.022167573874051483,99.64373626508414
SMOKY QUARTZ DISTILLERY LLC,139607.42,0.0216848536800061,99.66542111876414
