2026-09-13 12:20:37,764 - INFO - Ingesting begin_inventory.csv in db
2026-09-13 12:20:37,859 - INFO - Loading begin_inventory with shape (50000, 9)
2026-09-13 12:20:38,962 - INFO - Loading begin_inventory with shape (50000, 9)
2026-09-13 12:20:39,566 - INFO - Loading begin_inventory with shape (50000, 9)
2026-09-13 12:20:40,147 - INFO - Loading begin_inventory with shape (50000, 9)
2026-09-13 12:20:40,646 - INFO - Loading begin_inventory with shape (6529, 9)
2026-09-13 12:20:40,726 - INFO - Ingesting end_inventory.csv in db
2026-09-13 12:20:40,839 - INFO - Loading end_inventory with shape (50000, 9)
2026-09-13 12:20:42,051 - INFO - Loading end_inventory with shape (50000, 9)
2026-09-13 12:20:42,670 - INFO - Loading end_inventory with shape (50000, 9)
2026-09-13 12:20:43,322 - INFO - Loading end_inventory with shape (50000, 9)
2026-09-13 12:20:43,931 - INFO - Loading end_inventory with shape (24489, 9)
2026-09-13 12:20:44,203 - INFO - Ingesting purchases.csv in db
2026-09-13 12:20:44,361 - INFO - Loading purchases with shape (50000, 16)
2026-09-13 12:20:50,668 - INFO - Loading purchases with shape (50000, 16)
2026-09-13 12:20:51,708 - INFO - Loading purchases with shape (50000, 16)
2026-09-13 12:20:52,821 - INFO - Loading purchases with shape (50000, 16)
2026-09-13 12:20:53,893 - INFO - Loading purchases with shape (50000, 16)
2026-09-13 12:20:54,846 - INFO - Loading purchases with shape (50000, 16)
2026-09-13 12:20:55,568 - INFO - Loading purchases with shape (50000, 16)
2026-09-13 12:25:49,135 - INFO - Ingesting begin_inventory.csv in db
2026-09-13 12:25:49,260 - INFO - Loading begin_inventory with shape (50000, 9)
2026-09-13 12:25:49,973 - INFO - Loading begin_inventory with shape (50000, 9)
2026-09-13 12:25:50,530 - INFO - Loading begin_inventory with shape (50000, 9)
2026-09-13 12:25:51,140 - INFO - Loading begin_inventory with shape (50000, 9)
2026-09-13 12:25:51,599 - INFO - Loading begin_inventory with shape (6529, 9)
2026-09-13 12:25:51,661 - INFO - Ingesting end_inventory.csv in db
2026-09-13 12:25:51,754 - INFO - Loading end_inventory with shape (50000, 9)
2026-09-13 12:25:52,424 - INFO - Loading end_inventory with shape (50000, 9)
2026-09-13 12:25:53,030 - INFO - Loading end_inventory with shape (50000, 9)
2026-09-13 12:25:53,719 - INFO - Loading end_inventory with shape (50000, 9)
2026-09-13 12:25:54,272 - INFO - Loading end_inventory with shape (24489, 9)
2026-09-13 12:25:54,553 - INFO - Ingesting purchases.csv in db
2026-09-13 12:25:54,701 - INFO - Loading purchases with shape (50000, 16)
2026-09-13 12:25:55,798 - INFO - Loading purchases with shape (50000, 16)
2026-09-13 12:25:56,740 - INFO - Loading purchases with shape (50000, 16)
2026-09-13 12:25:57,736 - INFO - Loading purchases with shape (50000, 16)
2026-09-13 12:25:58,673 - INFO - Loading purchases with shape (50000, 16)
2026-09-13 12:25:59,501 - INFO - Loading purchases with shape (50000, 16)
2026-09-13 12:26:00,204 - INFO - Loading purchases with shape (50000, 16)
2026-09-13 12:26:00,942 - INFO - Loading purchases with shape (50000, 16)
2026-09-13 12:26:01,631 - INFO - Loading purchases with shape (50000, 16)
2026-09-13 12:26:02,421 - INFO - Loading purchases with shape (50000, 16)
2026-09-13 12:26:03,162 - INFO - Loading purchases with shape (50000, 16)
2026-09-13 12:26:03,905 - INFO - Loading purchases with shape (50000, 16)
2026-09-13 12:26:04,612 - INFO - Loading purchases with shape (50000, 16)
2026-09-13 12:26:05,390 - INFO - Loading purchases with shape (50000, 16)
2026-09-13 12:26:06,123 - INFO - Loading purchases with shape (50000, 16)
2026-09-13 12:26:06,898 - INFO - Loading purchases with shape (50000, 16)
2026-09-13 12:26:07,599 - INFO - Loading purchases with shape (50000, 16)
2026-09-13 12:26:08,352 - INFO - Loading purchases with shape (50000, 16)
2026-09-13 12:26:09,077 - INFO - Loading purchases with shape (50000, 16)
2026-09-13 12:26:09,832 - INFO - Loading purchases with shape (50000, 16)
2026-09-13 12:26:10,559 - INFO - Loading purchases with shape (50000, 16)
2026-09-13 12:26:11,353 - INFO - Loading purchases with shape (50000, 16)
2026-09-13 12:26:12,052 - INFO - Loading purchases with shape (50000, 16)
2026-09-13 12:26:12,806 - INFO - Loading purchases with shape (50000, 16)
2026-09-13 12:26:13,533 - INFO - Loading purchases with shape (50000, 16)
2026-09-13 12:26:14,274 - INFO - Loading purchases with shape (50000, 16)
2026-09-13 12:26:14,985 - INFO - Loading purchases with shape (50000, 16)
2026-09-13 12:26:15,744 - INFO - Loading purchases with shape (50000, 16)
2026-09-13 12:26:16,458 - INFO - Loading purchases with shape (50000, 16)
2026-09-13 12:26:17,208 - INFO - Loading purchases with shape (50000, 16)
2026-09-13 12:26:17,926 - INFO - Loading purchases with shape (50000, 16)
2026-09-13 12:26:18,715 - INFO - Loading purchases with shape (50000, 16)
2026-09-13 12:26:19,431 - INFO - Loading purchases with shape (50000, 16)
2026-09-13 12:26:20,237 - INFO - Loading purchases with shape (50000, 16)
2026-09-13 12:26:20,952 - INFO - Loading purchases with shape (50000, 16)
2026-09-13 12:26:21,706 - INFO - Loading purchases with shape (50000, 16)
2026-09-13 12:26:22,406 - INFO - Loading purchases with shape (50000, 16)
2026-09-13 12:26:23,153 - INFO - Loading purchases with shape (50000, 16)
2026-09-13 12:26:23,892 - INFO - Loading purchases with shape (50000, 16)
2026-09-13 12:26:24,654 - INFO - Loading purchases with shape (50000, 16)
2026-09-13 12:26:25,354 - INFO - Loading purchases with shape (50000, 16)
2026-09-13 12:26:26,106 - INFO - Loading purchases with shape (50000, 16)
2026-09-13 12:26:26,821 - INFO - Loading purchases with shape (50000, 16)
2026-09-13 12:26:27,610 - INFO - Loading purchases with shape (50000, 16)
2026-09-13 12:26:28,311 - INFO - Loading purchases with shape (50000, 16)
2026-09-13 12:26:29,121 - INFO - Loading purchases with shape (50000, 16)
2026-09-13 12:26:29,823 - INFO - Loading purchases with shape (50000, 16)
2026-09-13 12:26:30,522 - INFO - Loading purchases with shape (22474, 16)
2026-09-13 12:26:30,791 - INFO - Ingesting purchase_prices.csv in db
2026-09-13 12:26:30,813 - INFO - Loading purchase_prices with shape (12261, 9)
2026-09-13 12:26:30,934 - INFO - Ingesting sales.csv in db
2026-09-13 12:26:31,024 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:26:38,507 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:26:39,335 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:26:40,274 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:26:41,118 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:26:41,993 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:26:42,835 - INFO - Loading sales with shape (50000, 14)
2026-09-13 12:26:43,700 - INFO - Loading sales with shape (50000, 14)
